Inference for Stan model: hmm-semisup-orig.
2 chains, each with iter=200; warmup=100; thin=1; 
post-warmup draws per chain=100, total post-warmup draws=200.

                       mean se_mean    sd     2.5%      25%      50%      75%    97.5% n_eff    Rhat
y_star[23,2]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[23,3]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[23,4]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[23,5]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[23,6]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[23,7]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[23,8]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[23,9]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[23,10]          1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[24,1]           2.00    0.00  0.00     2.00     2.00     2.00     2.00     2.00   200     NaN
y_star[24,2]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[24,3]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[24,4]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[24,5]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[24,6]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[24,7]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[24,8]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[24,9]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[24,10]          1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[25,1]           2.00    0.00  0.00     2.00     2.00     2.00     2.00     2.00   200     NaN
y_star[25,2]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[25,3]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[25,4]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[25,5]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[25,6]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[25,7]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[25,8]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[25,9]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[25,10]          1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[26,1]           2.00    0.00  0.00     2.00     2.00     2.00     2.00     2.00   200     NaN
y_star[26,2]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[26,3]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[26,4]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[26,5]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[26,6]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[26,7]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[26,8]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[26,9]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[26,10]          1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[27,1]           2.00    0.00  0.00     2.00     2.00     2.00     2.00     2.00   200     NaN
y_star[27,2]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[27,3]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[27,4]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[27,5]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[27,6]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[27,7]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[27,8]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[27,9]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[27,10]          1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[28,1]           2.00    0.00  0.00     2.00     2.00     2.00     2.00     2.00   200     NaN
y_star[28,2]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[28,3]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
