Inference for Stan model: hmm_simple.
2 chains, each with iter=200; warmup=100; thin=1; 
post-warmup draws per chain=100, total post-warmup draws=200.

                    mean se_mean   sd      2.5%       25%       50%       75%     97.5% n_eff  Rhat
phi[4,3,1]          0.22    0.01 0.01      0.21      0.21      0.22      0.23      0.23     1  3.13
phi[4,3,2]          0.18    0.00 0.00      0.17      0.18      0.18      0.18      0.19     2  1.34
phi[4,3,3]          0.12    0.00 0.00      0.12      0.12      0.12      0.12      0.13     2  1.33
phi[4,3,4]          0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.04     1  2.50
phi[4,3,5]          0.07    0.00 0.00      0.07      0.07      0.07      0.08      0.08     1  2.11
phi[4,3,6]          0.19    0.01 0.01      0.18      0.18      0.19      0.19      0.20     1  2.13
phi[4,3,7]          0.09    0.00 0.00      0.09      0.09      0.09      0.10      0.10     1  1.91
phi[4,3,8]          0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.05     1  2.28
phi[4,3,9]          0.04    0.00 0.00      0.03      0.04      0.04      0.04      0.04     1  2.35
phi[5,1,1]          0.22    0.01 0.01      0.21      0.21      0.22      0.23      0.23     1  3.08
phi[5,1,2]          0.18    0.00 0.00      0.18      0.18      0.18      0.18      0.19     3  1.20
phi[5,1,3]          0.12    0.00 0.00      0.12      0.12      0.12      0.12      0.13     2  1.27
phi[5,1,4]          0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.04     1  2.39
phi[5,1,5]          0.07    0.00 0.00      0.07      0.07      0.07      0.08      0.08     1  1.93
phi[5,1,6]          0.19    0.00 0.01      0.18      0.18      0.19      0.19      0.20     1  2.01
phi[5,1,7]          0.09    0.00 0.00      0.09      0.09      0.09      0.10      0.10     1  1.78
phi[5,1,8]          0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.05     1  2.20
phi[5,1,9]          0.04    0.00 0.00      0.03      0.04      0.04      0.04      0.04     1  2.23
phi[5,2,1]          0.21    0.00 0.00      0.21      0.21      0.21      0.22      0.22   200  0.99
phi[5,2,2]          0.18    0.00 0.00      0.17      0.18      0.18      0.18      0.19   200  0.99
phi[5,2,3]          0.12    0.00 0.00      0.12      0.12      0.12      0.13      0.13   200  0.99
phi[5,2,4]          0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.04   200  1.00
phi[5,2,5]          0.08    0.00 0.00      0.07      0.07      0.08      0.08      0.08   200  0.99
phi[5,2,6]          0.18    0.00 0.00      0.18      0.18      0.18      0.19      0.19   200  0.99
phi[5,2,7]          0.10    0.00 0.00      0.09      0.10      0.10      0.10      0.10   200  1.00
phi[5,2,8]          0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.05   200  0.99
phi[5,2,9]          0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.04   200  1.00
phi[5,3,1]          0.22    0.01 0.01      0.21      0.21      0.22      0.23      0.23     1  3.13
phi[5,3,2]          0.18    0.00 0.00      0.17      0.18      0.18      0.18      0.19     2  1.34
phi[5,3,3]          0.12    0.00 0.00      0.12      0.12      0.12      0.12      0.13     2  1.33
phi[5,3,4]          0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.04     1  2.50
phi[5,3,5]          0.07    0.00 0.00      0.07      0.07      0.07      0.08      0.08     1  2.11
phi[5,3,6]          0.19    0.01 0.01      0.18      0.18      0.19      0.19      0.20     1  2.13
phi[5,3,7]          0.09    0.00 0.00      0.09      0.09      0.09      0.10      0.10     1  1.91
phi[5,3,8]          0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.05     1  2.28
phi[5,3,9]          0.04    0.00 0.00      0.03      0.04      0.04      0.04      0.04     1  2.35
phi[6,1,1]          0.22    0.01 0.01      0.21      0.21      0.22      0.23      0.23     1  3.08
phi[6,1,2]          0.18    0.00 0.00      0.18      0.18      0.18      0.18      0.19     3  1.20
phi[6,1,3]          0.12    0.00 0.00      0.12      0.12      0.12      0.12      0.13     2  1.27
phi[6,1,4]          0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.04     1  2.39
phi[6,1,5]          0.07    0.00 0.00      0.07      0.07      0.07      0.08      0.08     1  1.93
phi[6,1,6]          0.19    0.00 0.01      0.18      0.18      0.19      0.19      0.20     1  2.01
phi[6,1,7]          0.09    0.00 0.00      0.09      0.09      0.09      0.10      0.10     1  1.78
phi[6,1,8]          0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.05     1  2.20
phi[6,1,9]          0.04    0.00 0.00      0.03      0.04      0.04      0.04      0.04     1  2.23
phi[6,2,1]          0.21    0.00 0.00      0.21      0.21      0.21      0.22      0.22   200  0.99
phi[6,2,2]          0.18    0.00 0.00      0.17      0.18      0.18      0.18      0.19   200  0.99
phi[6,2,3]          0.12    0.00 0.00      0.12      0.12      0.12      0.13      0.13   200  0.99
phi[6,2,4]          0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.04   200  1.00
phi[6,2,5]          0.08    0.00 0.00      0.07      0.07      0.08      0.08      0.08   200  0.99
phi[6,2,6]          0.18    0.00 0.00      0.18      0.18      0.18      0.19      0.19   200  0.99
phi[6,2,7]          0.10    0.00 0.00      0.09      0.10      0.10      0.10      0.10   200  1.00
phi[6,2,8]          0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.05   200  0.99
phi[6,2,9]          0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.04   200  1.00
phi[6,3,1]          0.22    0.01 0.01      0.21      0.21      0.22      0.23      0.23     1  3.13
phi[6,3,2]          0.18    0.00 0.00      0.17      0.18      0.18      0.18      0.19     2  1.34
phi[6,3,3]          0.12    0.00 0.00      0.12      0.12      0.12      0.12      0.13     2  1.33
phi[6,3,4]          0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.04     1  2.50
phi[6,3,5]          0.07    0.00 0.00      0.07      0.07      0.07      0.08      0.08     1  2.11
phi[6,3,6]          0.19    0.01 0.01      0.18      0.18      0.19      0.19      0.20     1  2.13
phi[6,3,7]          0.09    0.00 0.00      0.09      0.09      0.09      0.10      0.10     1  1.91
phi[6,3,8]          0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.05     1  2.28
phi[6,3,9]          0.04    0.00 0.00      0.03      0.04      0.04      0.04      0.04     1  2.35
phi[7,1,1]          0.17    0.01 0.01      0.16      0.16      0.17      0.18      0.18     1  5.08
phi[7,1,2]          0.15    0.00 0.00      0.15      0.15      0.15      0.15      0.16     1  2.24
phi[7,1,3]          0.12    0.00 0.00      0.12      0.12      0.12      0.12      0.12     4  1.09
phi[7,1,4]          0.07    0.00 0.00      0.06      0.06      0.07      0.07      0.07     1  3.42
phi[7,1,5]          0.09    0.00 0.00      0.09      0.09      0.09      0.10      0.10     1  2.53
phi[7,1,6]          0.16    0.01 0.01      0.15      0.15      0.16      0.16      0.16     1  3.76
phi[7,1,7]          0.11    0.00 0.00      0.10      0.10      0.11      0.11      0.11     1  2.01
phi[7,1,8]          0.07    0.00 0.00      0.06      0.07      0.07      0.07      0.07     1  3.37
phi[7,1,9]          0.07    0.00 0.00      0.06      0.06      0.07      0.07      0.07     1  3.32
phi[7,2,1]          0.16    0.00 0.00      0.16      0.16      0.16      0.16      0.17   200  1.00
phi[7,2,2]          0.15    0.00 0.00      0.14      0.15      0.15      0.15      0.15   200  0.99
phi[7,2,3]          0.12    0.00 0.00      0.12      0.12      0.12      0.12      0.13   200  0.99
phi[7,2,4]          0.07    0.00 0.00      0.07      0.07      0.07      0.07      0.07   200  0.99
phi[7,2,5]          0.10    0.00 0.00      0.09      0.09      0.10      0.10      0.10   200  0.99
phi[7,2,6]          0.15    0.00 0.00      0.15      0.15      0.15      0.15      0.15   200  0.99
phi[7,2,7]          0.11    0.00 0.00      0.11      0.11      0.11      0.11      0.11   200  1.00
phi[7,2,8]          0.07    0.00 0.00      0.07      0.07      0.07      0.07      0.07   200  0.99
phi[7,2,9]          0.07    0.00 0.00      0.07      0.07      0.07      0.07      0.07   200  1.00
phi[7,3,1]          0.17    0.01 0.01      0.16      0.16      0.17      0.18      0.18     1  5.06
phi[7,3,2]          0.15    0.00 0.00      0.14      0.15      0.15      0.15      0.16     1  2.46
phi[7,3,3]          0.12    0.00 0.00      0.12      0.12      0.12      0.12      0.13     4  1.10
phi[7,3,4]          0.07    0.00 0.00      0.06      0.06      0.07      0.07      0.07     1  3.57
phi[7,3,5]          0.09    0.00 0.00      0.09      0.09      0.09      0.10      0.10     1  2.67
phi[7,3,6]          0.16    0.01 0.01      0.15      0.15      0.16      0.16      0.16     1  3.86
phi[7,3,7]          0.11    0.00 0.00      0.10      0.10      0.11      0.11      0.11     1  2.12
phi[7,3,8]          0.07    0.00 0.00      0.06      0.07      0.07      0.07      0.07     1  3.33
phi[7,3,9]          0.07    0.00 0.00      0.06      0.06      0.07      0.07      0.07     1  3.41
phi[8,1,1]          0.17    0.01 0.01      0.16      0.16      0.17      0.18      0.18     1  5.08
phi[8,1,2]          0.15    0.00 0.00      0.15      0.15      0.15      0.15      0.16     1  2.24
phi[8,1,3]          0.12    0.00 0.00      0.12      0.12      0.12      0.12      0.12     4  1.09
phi[8,1,4]          0.07    0.00 0.00      0.06      0.06      0.07      0.07      0.07     1  3.42
phi[8,1,5]          0.09    0.00 0.00      0.09      0.09      0.09      0.10      0.10     1  2.53
phi[8,1,6]          0.16    0.01 0.01      0.15      0.15      0.16      0.16      0.16     1  3.76
phi[8,1,7]          0.11    0.00 0.00      0.10      0.10      0.11      0.11      0.11     1  2.01
phi[8,1,8]          0.07    0.00 0.00      0.06      0.07      0.07      0.07      0.07     1  3.37
phi[8,1,9]          0.07    0.00 0.00      0.06      0.06      0.07      0.07      0.07     1  3.32
phi[8,2,1]          0.16    0.00 0.00      0.16      0.16      0.16      0.16      0.17   200  1.00
phi[8,2,2]          0.15    0.00 0.00      0.14      0.15      0.15      0.15      0.15   200  0.99
phi[8,2,3]          0.12    0.00 0.00      0.12      0.12      0.12      0.12      0.13   200  0.99
phi[8,2,4]          0.07    0.00 0.00      0.07      0.07      0.07      0.07      0.07   200  0.99
phi[8,2,5]          0.10    0.00 0.00      0.09      0.09      0.10      0.10      0.10   200  0.99
phi[8,2,6]          0.15    0.00 0.00      0.15      0.15      0.15      0.15      0.15   200  0.99
phi[8,2,7]          0.11    0.00 0.00      0.11      0.11      0.11      0.11      0.11   200  1.00
